t,kappa,nof,cycle
0,0.0,fdnof-7minutes,10
1,0.2557544757033248,fdnof-7minutes,10
5,0.5925925925925926,fdnof-7minutes,10
6,0.9090909090909091,fdnof-7minutes,10
7,1.0,fdnof-7minutes,10
8,1.0,fdnof-7minutes,10
10,1.0,fdnof-7minutes,10
11,1.0,fdnof-7minutes,10
12,1.0,fdnof-7minutes,10
13,1.0,fdnof-7minutes,10
15,1.0,fdnof-7minutes,10
16,1.0,fdnof-7minutes,10
17,1.0,fdnof-7minutes,10
18,1.0,fdnof-7minutes,10
20,1.0,fdnof-7minutes,10
21,1.0,fdnof-7minutes,10
22,1.0,fdnof-7minutes,10
23,1.0,fdnof-7minutes,10
25,1.0,fdnof-7minutes,10
26,1.0,fdnof-7minutes,10
27,1.0,fdnof-7minutes,10
28,1.0,fdnof-7minutes,10
30,1.0,fdnof-7minutes,10
31,1.0,fdnof-7minutes,10
32,1.0,fdnof-7minutes,10
33,1.0,fdnof-7minutes,10
36,1.0,fdnof-7minutes,10
37,1.0,fdnof-7minutes,10
41,1.0,fdnof-7minutes,10
42,1.0,fdnof-7minutes,10
43,1.0,fdnof-7minutes,10
46,1.0,fdnof-7minutes,10
47,1.0,fdnof-7minutes,10
52,1.0,fdnof-7minutes,10
56,1.0,fdnof-7minutes,10
57,1.0,fdnof-7minutes,10
61,1.0,fdnof-7minutes,10
62,1.0,fdnof-7minutes,10
67,1.0,fdnof-7minutes,10
68,1.0,fdnof-7minutes,10
72,1.0,fdnof-7minutes,10
76,1.0,fdnof-7minutes,10
81,1.0,fdnof-7minutes,10
82,1.0,fdnof-7minutes,10
83,1.0,fdnof-7minutes,10
86,1.0,fdnof-7minutes,10
87,1.0,fdnof-7minutes,10
91,1.0,fdnof-7minutes,10
92,1.0,fdnof-7minutes,10
93,1.0,fdnof-7minutes,10
96,1.0,fdnof-7minutes,10
97,1.0,fdnof-7minutes,10
98,1.0,fdnof-7minutes,10
103,1.0,fdnof-7minutes,10
106,1.0,fdnof-7minutes,10
108,1.0,fdnof-7minutes,10
117,1.0,fdnof-7minutes,10
118,1.0,fdnof-7minutes,10
138,1.0,fdnof-7minutes,10
153,1.0,fdnof-7minutes,10
163,1.0,fdnof-7minutes,10
193,1.0,fdnof-7minutes,10
203,1.0,fdnof-7minutes,10
400,0.9138755980861244,fdnof-7minutes,10
401,0.8390804597701149,fdnof-7minutes,10
405,0.5238095238095238,fdnof-7minutes,10
406,0.055408970976253295,fdnof-7minutes,10
407,0.0,fdnof-7minutes,10
408,0.0,fdnof-7minutes,10
410,0.0,fdnof-7minutes,10
411,0.0,fdnof-7minutes,10
412,0.0,fdnof-7minutes,10
413,0.0,fdnof-7minutes,10
415,0.0,fdnof-7minutes,10
416,0.0,fdnof-7minutes,10
417,0.0,fdnof-7minutes,10
418,0.0,fdnof-7minutes,10
420,0.0,fdnof-7minutes,10
421,0.0,fdnof-7minutes,10
422,0.0,fdnof-7minutes,10
423,0.0,fdnof-7minutes,10
425,0.0,fdnof-7minutes,10
426,0.0,fdnof-7minutes,10
427,0.0,fdnof-7minutes,10
428,0.0,fdnof-7minutes,10
430,0.0,fdnof-7minutes,10
431,0.0,fdnof-7minutes,10
432,0.0,fdnof-7minutes,10
433,0.0,fdnof-7minutes,10
436,0.0,fdnof-7minutes,10
437,0.0,fdnof-7minutes,10
438,0.0,fdnof-7minutes,10
441,0.0,fdnof-7minutes,10
442,0.0,fdnof-7minutes,10
443,0.0,fdnof-7minutes,10
446,0.0,fdnof-7minutes,10
447,0.0,fdnof-7minutes,10
448,0.0,fdnof-7minutes,10
452,0.0,fdnof-7minutes,10
456,0.0,fdnof-7minutes,10
457,0.0,fdnof-7minutes,10
461,0.0,fdnof-7minutes,10
462,0.0,fdnof-7minutes,10
463,0.0,fdnof-7minutes,10
467,0.0,fdnof-7minutes,10
468,0.0,fdnof-7minutes,10
472,0.0,fdnof-7minutes,10
476,0.0,fdnof-7minutes,10
481,0.0,fdnof-7minutes,10
482,0.0,fdnof-7minutes,10
483,0.0,fdnof-7minutes,10
486,0.0,fdnof-7minutes,10
487,0.0,fdnof-7minutes,10
491,0.0,fdnof-7minutes,10
493,0.0,fdnof-7minutes,10
496,0.0,fdnof-7minutes,10
498,0.0,fdnof-7minutes,10
503,0.0,fdnof-7minutes,10
506,0.0,fdnof-7minutes,10
508,0.0,fdnof-7minutes,10
517,0.0,fdnof-7minutes,10
518,0.0,fdnof-7minutes,10
538,0.0,fdnof-7minutes,10
553,0.0,fdnof-7minutes,10
563,0.0,fdnof-7minutes,10
593,0.0,fdnof-7minutes,10
600,0.4375,fdnof-7minutes,10
601,0.5714285714285714,fdnof-7minutes,10
602,0.7407407407407407,fdnof-7minutes,10
603,0.9478672985781991,fdnof-7minutes,10
604,1.0,fdnof-7minutes,10
605,1.0,fdnof-7minutes,10
606,1.0,fdnof-7minutes,10
607,1.0,fdnof-7minutes,10
608,1.0,fdnof-7minutes,10
609,1.0,fdnof-7minutes,10
610,1.0,fdnof-7minutes,10
611,1.0,fdnof-7minutes,10
612,1.0,fdnof-7minutes,10
613,1.0,fdnof-7minutes,10
614,1.0,fdnof-7minutes,10
615,1.0,fdnof-7minutes,10
616,1.0,fdnof-7minutes,10
618,1.0,fdnof-7minutes,10
619,1.0,fdnof-7minutes,10
620,1.0,fdnof-7minutes,10
621,1.0,fdnof-7minutes,10
622,1.0,fdnof-7minutes,10
623,1.0,fdnof-7minutes,10
624,1.0,fdnof-7minutes,10
625,1.0,fdnof-7minutes,10
