t,kappa,nof,cycle
2826,1.0,sdnof,30
2885,1.0,sdnof,30
2916,1.0,sdnof,30
2917,1.0,sdnof,30
2919,1.0,sdnof,30
2951,1.0,sdnof,30
3005,1.0,sdnof,30
3041,1.0,sdnof,30
3099,1.0,sdnof,30
3100,1.0,sdnof,30
3131,1.0,sdnof,30
3157,1.0,sdnof,30
3251,1.0,sdnof,30
3307,1.0,sdnof,30
3370,1.0,sdnof,30
3461,1.0,sdnof,30
3600,2.0,sdnof,30
3602,1.9702970297029703,sdnof,30
3603,1.863961813842482,sdnof,30
3604,1.6200873362445414,sdnof,30
3605,1.3629191321499015,sdnof,30
3606,1.1498194945848375,sdnof,30
3607,1.008517887563884,sdnof,30
3608,0.8406940063091483,sdnof,30
3609,0.7095808383233533,sdnof,30
3610,0.6785714285714286,sdnof,30
3611,0.6099397590361446,sdnof,30
3612,0.6644518272425249,sdnof,30
3613,0.7532956685499058,sdnof,30
3614,0.8928571428571429,sdnof,30
3615,1.1111111111111112,sdnof,30
3616,1.4035087719298245,sdnof,30
3617,1.7777777777777777,sdnof,30
3618,1.9138755980861244,sdnof,30
3639,2.1052631578947367,sdnof,30
3640,2.1052631578947367,sdnof,30
3641,2.197802197802198,sdnof,30
3642,2.7210884353741496,sdnof,30
3643,3.9603960396039604,sdnof,30
3644,10.526315789473685,sdnof,30
3645,21.05263157894737,sdnof,30
3646,26.666666666666668,sdnof,30
3647,28.571428571428573,sdnof,30
3661,26.666666666666668,sdnof,30
3662,25.0,sdnof,30
3663,22.22222222222222,sdnof,30
3669,21.05263157894737,sdnof,30
3670,18.181818181818183,sdnof,30
3672,17.391304347826086,sdnof,30
3674,17.391304347826086,sdnof,30
3675,17.391304347826086,sdnof,30
3677,17.391304347826086,sdnof,30
3691,16.666666666666668,sdnof,30
3693,16.0,sdnof,30
3694,15.384615384615385,sdnof,30
3695,13.793103448275861,sdnof,30
3696,13.333333333333334,sdnof,30
3697,10.81081081081081,sdnof,30
3698,10.256410256410257,sdnof,30
3699,10.0,sdnof,30
3700,9.75609756097561,sdnof,30
3701,9.523809523809524,sdnof,30
3702,9.30232558139535,sdnof,30
3703,9.523809523809524,sdnof,30
3704,9.523809523809524,sdnof,30
3705,9.523809523809524,sdnof,30
3707,9.523809523809524,sdnof,30
3708,9.523809523809524,sdnof,30
3720,9.090909090909092,sdnof,30
3721,8.695652173913043,sdnof,30
3722,8.51063829787234,sdnof,30
3723,8.16326530612245,sdnof,30
3724,7.6923076923076925,sdnof,30
3725,7.407407407407407,sdnof,30
3726,6.666666666666667,sdnof,30
3727,6.25,sdnof,30
3728,5.714285714285714,sdnof,30
3730,5.2631578947368425,sdnof,30
3731,4.819277108433735,sdnof,30
3732,4.444444444444445,sdnof,30
3733,4.25531914893617,sdnof,30
3734,4.2105263157894735,sdnof,30
3735,4.123711340206185,sdnof,30
3736,4.123711340206185,sdnof,30
3737,4.123711340206185,sdnof,30
3738,4.123711340206185,sdnof,30
3748,4.040404040404041,sdnof,30
3749,4.0,sdnof,30
3750,3.7383177570093458,sdnof,30
3751,3.4782608695652173,sdnof,30
3752,3.125,sdnof,30
3753,2.985074626865672,sdnof,30
3754,2.7210884353741496,sdnof,30
3755,2.4242424242424243,sdnof,30
3756,2.2857142857142856,sdnof,30
3757,2.127659574468085,sdnof,30
3758,1.9704433497536946,sdnof,30
3759,1.8779342723004695,sdnof,30
3760,1.7543859649122806,sdnof,30
3761,1.6194331983805668,sdnof,30
3762,1.550387596899225,sdnof,30
3763,1.486988847583643,sdnof,30
3764,1.4814814814814814,sdnof,30
3765,1.4492753623188406,sdnof,30
3766,1.444043321299639,sdnof,30
3767,1.444043321299639,sdnof,30
3768,1.444043321299639,sdnof,30
3769,1.444043321299639,sdnof,30
3782,1.4388489208633093,sdnof,30
3784,1.4285714285714286,sdnof,30
3785,1.4184397163120568,sdnof,30
3786,1.408450704225352,sdnof,30
3787,1.3986013986013985,sdnof,30
3788,1.3651877133105803,sdnof,30
3789,1.3377926421404682,sdnof,30
3790,1.3114754098360655,sdnof,30
3791,1.2903225806451613,sdnof,30
3793,1.2903225806451613,sdnof,30
3794,1.2944983818770226,sdnof,30
3795,1.2944983818770226,sdnof,30
3796,1.2944983818770226,sdnof,30
3797,1.2944983818770226,sdnof,30
3798,1.2944983818770226,sdnof,30
3799,1.2944983818770226,sdnof,30
3812,1.2903225806451613,sdnof,30
3815,1.2820512820512822,sdnof,30
3817,1.2698412698412698,sdnof,30
3818,1.2658227848101267,sdnof,30
3819,1.2578616352201257,sdnof,30
3820,1.25,sdnof,30
3821,1.2422360248447204,sdnof,30
3822,1.238390092879257,sdnof,30
3823,1.238390092879257,sdnof,30
3824,1.238390092879257,sdnof,30
3825,1.238390092879257,sdnof,30
3826,1.238390092879257,sdnof,30
3827,1.238390092879257,sdnof,30
3828,1.238390092879257,sdnof,30
3843,1.2345679012345678,sdnof,30
3845,1.2307692307692308,sdnof,30
3848,1.2195121951219512,sdnof,30
3850,1.21580547112462,sdnof,30
3851,1.2121212121212122,sdnof,30
3853,1.2121212121212122,sdnof,30
3854,1.2121212121212122,sdnof,30
3855,1.2084592145015105,sdnof,30
3856,1.2048192771084338,sdnof,30
3857,1.2048192771084338,sdnof,30
3858,1.2048192771084338,sdnof,30
3859,1.2048192771084338,sdnof,30
3875,1.2012012012012012,sdnof,30
3877,1.1976047904191616,sdnof,30
3879,1.1904761904761905,sdnof,30
3881,1.183431952662722,sdnof,30
3882,1.1799410029498525,sdnof,30
3883,1.1764705882352942,sdnof,30
3884,1.1730205278592376,sdnof,30
3885,1.1730205278592376,sdnof,30
3886,1.1730205278592376,sdnof,30
3887,1.1730205278592376,sdnof,30
3888,1.1730205278592376,sdnof,30
3889,1.1730205278592376,sdnof,30
3908,1.1627906976744187,sdnof,30
3909,1.1560693641618498,sdnof,30
3910,1.1494252873563218,sdnof,30
3912,1.146131805157593,sdnof,30
3914,1.1428571428571428,sdnof,30
3915,1.1428571428571428,sdnof,30
3916,1.1428571428571428,sdnof,30
3917,1.1428571428571428,sdnof,30
3918,1.1428571428571428,sdnof,30
3919,1.1428571428571428,sdnof,30
3937,1.1396011396011396,sdnof,30
3938,1.1363636363636365,sdnof,30
3940,1.13314447592068,sdnof,30
3941,1.1267605633802817,sdnof,30
3942,1.1235955056179776,sdnof,30
3943,1.1235955056179776,sdnof,30
3944,1.1235955056179776,sdnof,30
3945,1.1204481792717087,sdnof,30
3946,1.1204481792717087,sdnof,30
3948,1.1204481792717087,sdnof,30
3966,1.1173184357541899,sdnof,30
3967,1.1142061281337048,sdnof,30
3968,1.10803324099723,sdnof,30
3970,1.1019283746556474,sdnof,30
3973,1.098901098901099,sdnof,30
3974,1.095890410958904,sdnof,30
3975,1.0899182561307903,sdnof,30
3976,1.0899182561307903,sdnof,30
3977,1.0899182561307903,sdnof,30
3978,1.0899182561307903,sdnof,30
3979,1.0899182561307903,sdnof,30
3995,1.0869565217391304,sdnof,30
3997,1.084010840108401,sdnof,30
4004,1.084010840108401,sdnof,30
4005,1.084010840108401,sdnof,30
4006,1.084010840108401,sdnof,30
4008,1.084010840108401,sdnof,30
4009,1.084010840108401,sdnof,30
4024,1.0810810810810811,sdnof,30
