t,kappa,nof,cycle
0,0.0,sdnof,30
1,0.17721518987341772,sdnof,30
5,0.6993006993006993,sdnof,30
6,0.936768149882904,sdnof,30
7,1.0,sdnof,30
10,1.0,sdnof,30
11,1.0,sdnof,30
16,1.0,sdnof,30
17,1.0,sdnof,30
26,1.0,sdnof,30
27,1.0,sdnof,30
56,1.0,sdnof,30
66,1.0,sdnof,30
71,1.0,sdnof,30
72,1.0,sdnof,30
76,1.0,sdnof,30
77,1.0,sdnof,30
106,1.0,sdnof,30
111,1.0,sdnof,30
116,1.0,sdnof,30
137,1.0,sdnof,30
141,1.0,sdnof,30
142,1.0,sdnof,30
151,1.0,sdnof,30
171,1.0,sdnof,30
176,1.0,sdnof,30
186,1.0,sdnof,30
207,1.0,sdnof,30
211,1.0,sdnof,30
366,1.0,sdnof,30
1800,1.4626168224299065,sdnof,30
1801,1.7586206896551724,sdnof,30
1802,1.8567961165048543,sdnof,30
1803,2.0619946091644206,sdnof,30
1804,2.420886075949367,sdnof,30
1805,2.647887323943662,sdnof,30
1806,2.2450980392156863,sdnof,30
1807,1.9807692307692308,sdnof,30
1808,1.961672473867596,sdnof,30
1809,1.8246268656716418,sdnof,30
1810,1.815686274509804,sdnof,30
1811,1.9209302325581394,sdnof,30
1812,1.8957345971563981,sdnof,30
1813,2.5806451612903225,sdnof,30
1814,2.8776978417266186,sdnof,30
1815,3.076923076923077,sdnof,30
1816,2.9411764705882355,sdnof,30
1817,2.5641025641025643,sdnof,30
1818,2.4096385542168677,sdnof,30
1819,2.0408163265306123,sdnof,30
1820,1.6326530612244898,sdnof,30
1821,1.3157894736842106,sdnof,30
1822,1.1661807580174928,sdnof,30
1823,1.1299435028248588,sdnof,30
1824,1.1235955056179776,sdnof,30
1825,1.1142061281337048,sdnof,30
1826,1.1019283746556474,sdnof,30
1827,1.092896174863388,sdnof,30
1828,1.0810810810810811,sdnof,30
1829,1.0723860589812333,sdnof,30
1830,1.0666666666666667,sdnof,30
1831,1.0582010582010581,sdnof,30
1832,1.0554089709762533,sdnof,30
1833,1.0526315789473684,sdnof,30
1834,1.0471204188481675,sdnof,30
1835,1.0443864229765014,sdnof,30
1837,1.0416666666666667,sdnof,30
1838,1.0416666666666667,sdnof,30
1839,1.0416666666666667,sdnof,30
1840,1.0416666666666667,sdnof,30
1842,1.0389610389610389,sdnof,30
1843,1.0389610389610389,sdnof,30
1845,1.0389610389610389,sdnof,30
1848,1.0389610389610389,sdnof,30
1849,1.0389610389610389,sdnof,30
1850,1.0389610389610389,sdnof,30
1853,1.0389610389610389,sdnof,30
1855,1.0389610389610389,sdnof,30
1856,1.0362694300518134,sdnof,30
1857,1.0362694300518134,sdnof,30
1858,1.0362694300518134,sdnof,30
1859,1.0335917312661498,sdnof,30
1860,1.0335917312661498,sdnof,30
1863,1.0335917312661498,sdnof,30
1871,1.0309278350515463,sdnof,30
1873,1.0282776349614395,sdnof,30
1874,1.0282776349614395,sdnof,30
1875,1.0282776349614395,sdnof,30
1876,1.0256410256410255,sdnof,30
1878,1.0256410256410255,sdnof,30
1880,1.0230179028132993,sdnof,30
1881,1.0204081632653061,sdnof,30
1882,1.0204081632653061,sdnof,30
1883,1.0204081632653061,sdnof,30
1885,1.0204081632653061,sdnof,30
1887,1.0178117048346056,sdnof,30
1888,1.0178117048346056,sdnof,30
1891,1.0178117048346056,sdnof,30
1893,1.0178117048346056,sdnof,30
1894,1.0178117048346056,sdnof,30
1898,1.015228426395939,sdnof,30
1899,1.015228426395939,sdnof,30
1902,1.015228426395939,sdnof,30
1903,1.015228426395939,sdnof,30
1908,1.015228426395939,sdnof,30
1909,1.0126582278481013,sdnof,30
1912,1.0101010101010102,sdnof,30
1913,1.0075566750629723,sdnof,30
1914,1.0075566750629723,sdnof,30
1918,1.0075566750629723,sdnof,30
1920,1.0050251256281406,sdnof,30
1921,1.0050251256281406,sdnof,30
1922,1.0050251256281406,sdnof,30
1928,1.0050251256281406,sdnof,30
1929,1.0050251256281406,sdnof,30
1931,1.0050251256281406,sdnof,30
1938,1.0050251256281406,sdnof,30
1946,1.0025062656641603,sdnof,30
1949,1.0025062656641603,sdnof,30
1951,1.0025062656641603,sdnof,30
1953,1.0025062656641603,sdnof,30
1954,1.0025062656641603,sdnof,30
1971,1.0025062656641603,sdnof,30
1983,1.0025062656641603,sdnof,30
1989,1.0025062656641603,sdnof,30
2002,1.0025062656641603,sdnof,30
2009,1.0025062656641603,sdnof,30
2011,1.0,sdnof,30
2028,1.0,sdnof,30
2033,1.0,sdnof,30
2034,1.0,sdnof,30
2041,1.0,sdnof,30
2049,1.0,sdnof,30
2071,1.0,sdnof,30
2088,1.0,sdnof,30
2097,1.0,sdnof,30
2104,1.0,sdnof,30
