t,kappa,nof,cycle
0,0.0,fdnof,30
1,0.05449936628643853,fdnof,30
2,0.15286624203821655,fdnof,30
30,0.6482982171799028,fdnof,30
31,0.91324200913242,fdnof,30
32,0.9975062344139651,fdnof,30
33,1.0,fdnof,30
60,1.0,fdnof,30
61,1.0,fdnof,30
91,1.0,fdnof,30
121,1.0,fdnof,30
122,1.0,fdnof,30
152,1.0,fdnof,30
182,1.0,fdnof,30
242,1.0,fdnof,30
1174,1.0,fdnof,30
1266,1.0,fdnof,30
1800,1.6763990267639903,fdnof,30
1801,1.7272727272727273,fdnof,30
1802,1.696629213483146,fdnof,30
1806,1.7004504504504505,fdnof,30
1807,1.735632183908046,fdnof,30
1808,1.776470588235294,fdnof,30
1809,1.7933491686460807,fdnof,30
1810,1.8827930174563592,fdnof,30
1811,2.0295698924731185,fdnof,30
1812,2.2672672672672673,fdnof,30
1813,2.533557046979866,fdnof,30
1814,2.7655677655677655,fdnof,30
1815,3.1991525423728815,fdnof,30
1816,3.6298076923076925,fdnof,30
1817,4.339080459770115,fdnof,30
1818,4.7784810126582276,fdnof,30
1819,5.592592592592593,fdnof,30
1820,6.565217391304348,fdnof,30
1821,8.67816091954023,fdnof,30
1822,12.796610169491526,fdnof,30
1823,16.06382978723404,fdnof,30
1824,19.86842105263158,fdnof,30
1825,19.86842105263158,fdnof,30
1830,14.25,fdnof,30
1831,7.091836734693878,fdnof,30
1832,6.102803738317757,fdnof,30
1833,3.993377483443709,fdnof,30
1834,3.0549450549450547,fdnof,30
1835,2.5671641791044775,fdnof,30
1836,2.2155963302752295,fdnof,30
1837,2.657142857142857,fdnof,30
1838,2.3405405405405406,fdnof,30
1839,2.389830508474576,fdnof,30
1840,2.9225352112676055,fdnof,30
1841,3.24,fdnof,30
1842,3.406779661016949,fdnof,30
1843,3.9603960396039604,fdnof,30
1844,4.545454545454546,fdnof,30
1845,5.714285714285714,fdnof,30
1846,6.779661016949152,fdnof,30
1847,10.0,fdnof,30
1848,12.903225806451612,fdnof,30
1850,12.5,fdnof,30
1852,11.764705882352942,fdnof,30
1860,11.428571428571429,fdnof,30
1861,11.11111111111111,fdnof,30
1862,11.11111111111111,fdnof,30
1863,12.903225806451612,fdnof,30
1864,14.814814814814815,fdnof,30
1865,16.0,fdnof,30
1866,19.047619047619047,fdnof,30
1867,18.181818181818183,fdnof,30
1870,18.181818181818183,fdnof,30
1875,17.391304347826086,fdnof,30
1876,15.384615384615385,fdnof,30
1877,13.333333333333334,fdnof,30
1878,12.903225806451612,fdnof,30
1879,12.5,fdnof,30
1880,11.11111111111111,fdnof,30
1881,8.88888888888889,fdnof,30
1882,8.0,fdnof,30
1883,7.017543859649122,fdnof,30
1884,5.882352941176471,fdnof,30
1885,5.128205128205129,fdnof,30
1886,4.761904761904762,fdnof,30
1887,4.123711340206185,fdnof,30
1888,3.7735849056603774,fdnof,30
1889,3.5398230088495577,fdnof,30
1890,3.4482758620689653,fdnof,30
1891,3.252032520325203,fdnof,30
1892,3.053435114503817,fdnof,30
1893,2.962962962962963,fdnof,30
1894,3.007518796992481,fdnof,30
1895,3.0303030303030303,fdnof,30
1896,3.0303030303030303,fdnof,30
1897,3.007518796992481,fdnof,30
1898,2.985074626865672,fdnof,30
1899,2.898550724637681,fdnof,30
1900,2.898550724637681,fdnof,30
1901,2.8776978417266186,fdnof,30
1902,2.8368794326241136,fdnof,30
1904,2.8368794326241136,fdnof,30
1905,2.8368794326241136,fdnof,30
