t,kappa,nof,cycle
1997,1.1235955056179776,fdnof,30
1998,1.1204481792717087,fdnof,30
1999,1.1204481792717087,fdnof,30
2000,1.1173184357541899,fdnof,30
2003,1.1142061281337048,fdnof,30
2005,1.1111111111111112,fdnof,30
2015,1.1111111111111112,fdnof,30
2016,1.1111111111111112,fdnof,30
2018,1.1111111111111112,fdnof,30
2019,1.1111111111111112,fdnof,30
2020,1.1111111111111112,fdnof,30
2022,1.1111111111111112,fdnof,30
2023,1.1111111111111112,fdnof,30
2026,1.1111111111111112,fdnof,30
2027,1.1111111111111112,fdnof,30
2028,1.1111111111111112,fdnof,30
2029,1.1111111111111112,fdnof,30
2033,1.10803324099723,fdnof,30
2045,1.10803324099723,fdnof,30
2046,1.10803324099723,fdnof,30
2048,1.10803324099723,fdnof,30
2049,1.10803324099723,fdnof,30
2050,1.10803324099723,fdnof,30
2051,1.10803324099723,fdnof,30
2052,1.10803324099723,fdnof,30
2053,1.10803324099723,fdnof,30
2054,1.10803324099723,fdnof,30
2056,1.10803324099723,fdnof,30
2057,1.1049723756906078,fdnof,30
2058,1.1019283746556474,fdnof,30
2059,1.098901098901099,fdnof,30
2060,1.095890410958904,fdnof,30
2061,1.092896174863388,fdnof,30
2062,1.0899182561307903,fdnof,30
2064,1.084010840108401,fdnof,30
2066,1.0781671159029649,fdnof,30
2067,1.0723860589812333,fdnof,30
2068,1.0695187165775402,fdnof,30
2069,1.0666666666666667,fdnof,30
2072,1.0638297872340425,fdnof,30
2075,1.0638297872340425,fdnof,30
2076,1.0638297872340425,fdnof,30
2078,1.0638297872340425,fdnof,30
2079,1.0638297872340425,fdnof,30
2080,1.0638297872340425,fdnof,30
2081,1.0638297872340425,fdnof,30
2083,1.0638297872340425,fdnof,30
2084,1.0638297872340425,fdnof,30
2086,1.0638297872340425,fdnof,30
2087,1.0638297872340425,fdnof,30
2088,1.0638297872340425,fdnof,30
2089,1.0638297872340425,fdnof,30
2100,1.0610079575596818,fdnof,30
2101,1.0582010582010581,fdnof,30
2106,1.0582010582010581,fdnof,30
2107,1.0582010582010581,fdnof,30
2108,1.0582010582010581,fdnof,30
2109,1.0582010582010581,fdnof,30
2111,1.0582010582010581,fdnof,30
2113,1.0582010582010581,fdnof,30
2116,1.0582010582010581,fdnof,30
2117,1.0582010582010581,fdnof,30
2119,1.0582010582010581,fdnof,30
2120,1.0582010582010581,fdnof,30
2141,1.0582010582010581,fdnof,30
2143,1.0582010582010581,fdnof,30
2144,1.0582010582010581,fdnof,30
2146,1.0582010582010581,fdnof,30
2149,1.0582010582010581,fdnof,30
2150,1.0582010582010581,fdnof,30
2165,1.0582010582010581,fdnof,30
2166,1.0582010582010581,fdnof,30
2167,1.0582010582010581,fdnof,30
2169,1.0582010582010581,fdnof,30
2180,1.0582010582010581,fdnof,30
2194,1.0554089709762533,fdnof,30
2197,1.0554089709762533,fdnof,30
2199,1.0554089709762533,fdnof,30
2200,1.0554089709762533,fdnof,30
2201,1.0554089709762533,fdnof,30
2202,1.0554089709762533,fdnof,30
2207,1.0554089709762533,fdnof,30
2209,1.0554089709762533,fdnof,30
2218,1.0526315789473684,fdnof,30
2227,1.0526315789473684,fdnof,30
2229,1.0526315789473684,fdnof,30
2230,1.0526315789473684,fdnof,30
2239,1.0526315789473684,fdnof,30
2240,1.0526315789473684,fdnof,30
2254,1.0498687664041995,fdnof,30
2256,1.0471204188481675,fdnof,30
2257,1.0443864229765014,fdnof,30
2259,1.0443864229765014,fdnof,30
2260,1.0443864229765014,fdnof,30
2261,1.0443864229765014,fdnof,30
2266,1.0443864229765014,fdnof,30
2267,1.0443864229765014,fdnof,30
2269,1.0443864229765014,fdnof,30
2270,1.0443864229765014,fdnof,30
2287,1.0443864229765014,fdnof,30
2289,1.0443864229765014,fdnof,30
2293,1.0443864229765014,fdnof,30
2294,1.0443864229765014,fdnof,30
2296,1.0443864229765014,fdnof,30
2299,1.0443864229765014,fdnof,30
2300,1.0443864229765014,fdnof,30
2304,1.0416666666666667,fdnof,30
2308,1.0389610389610389,fdnof,30
2317,1.0389610389610389,fdnof,30
2319,1.0389610389610389,fdnof,30
2321,1.0389610389610389,fdnof,30
2327,1.0389610389610389,fdnof,30
2329,1.0389610389610389,fdnof,30
2330,1.0389610389610389,fdnof,30
2344,1.0362694300518134,fdnof,30
2349,1.0362694300518134,fdnof,30
2350,1.0362694300518134,fdnof,30
2352,1.0362694300518134,fdnof,30
2360,1.0362694300518134,fdnof,30
2372,1.0335917312661498,fdnof,30
2377,1.0335917312661498,fdnof,30
2380,1.0335917312661498,fdnof,30
2381,1.0335917312661498,fdnof,30
2382,1.0335917312661498,fdnof,30
2401,1.0309278350515463,fdnof,30
