t,kappa,nof,cycle
647,1.0,sdnof-7minutes,10
648,1.0,sdnof-7minutes,10
649,1.0,sdnof-7minutes,10
650,1.0,sdnof-7minutes,10
652,1.0,sdnof-7minutes,10
653,1.0,sdnof-7minutes,10
655,1.0,sdnof-7minutes,10
656,1.0,sdnof-7minutes,10
657,1.0,sdnof-7minutes,10
658,1.0,sdnof-7minutes,10
659,1.0,sdnof-7minutes,10
660,1.0,sdnof-7minutes,10
661,1.0,sdnof-7minutes,10
662,1.0,sdnof-7minutes,10
663,1.0,sdnof-7minutes,10
664,1.0,sdnof-7minutes,10
665,1.0,sdnof-7minutes,10
668,1.0,sdnof-7minutes,10
669,1.0,sdnof-7minutes,10
670,1.0,sdnof-7minutes,10
671,1.0,sdnof-7minutes,10
673,1.0,sdnof-7minutes,10
674,1.0,sdnof-7minutes,10
675,1.0,sdnof-7minutes,10
677,1.0,sdnof-7minutes,10
678,1.0,sdnof-7minutes,10
680,1.0,sdnof-7minutes,10
681,1.0,sdnof-7minutes,10
682,1.0,sdnof-7minutes,10
683,1.0,sdnof-7minutes,10
685,1.0,sdnof-7minutes,10
686,1.0,sdnof-7minutes,10
687,1.0,sdnof-7minutes,10
689,1.0,sdnof-7minutes,10
690,1.0,sdnof-7minutes,10
691,1.0,sdnof-7minutes,10
692,1.0,sdnof-7minutes,10
693,1.0,sdnof-7minutes,10
694,1.0,sdnof-7minutes,10
695,1.0,sdnof-7minutes,10
696,1.0,sdnof-7minutes,10
697,1.0,sdnof-7minutes,10
698,1.0,sdnof-7minutes,10
699,1.0,sdnof-7minutes,10
700,1.0,sdnof-7minutes,10
701,1.0,sdnof-7minutes,10
703,1.0,sdnof-7minutes,10
704,1.0,sdnof-7minutes,10
705,1.0,sdnof-7minutes,10
706,1.0,sdnof-7minutes,10
708,1.0,sdnof-7minutes,10
711,1.0,sdnof-7minutes,10
712,1.0,sdnof-7minutes,10
713,1.0,sdnof-7minutes,10
715,1.0,sdnof-7minutes,10
716,1.0,sdnof-7minutes,10
718,1.0,sdnof-7minutes,10
719,1.0,sdnof-7minutes,10
720,1.0,sdnof-7minutes,10
721,1.0,sdnof-7minutes,10
723,1.0,sdnof-7minutes,10
725,1.0,sdnof-7minutes,10
726,1.0,sdnof-7minutes,10
728,1.0,sdnof-7minutes,10
730,1.0,sdnof-7minutes,10
731,1.0,sdnof-7minutes,10
733,1.0,sdnof-7minutes,10
734,1.0,sdnof-7minutes,10
736,1.0,sdnof-7minutes,10
738,1.0,sdnof-7minutes,10
739,1.0,sdnof-7minutes,10
741,1.0,sdnof-7minutes,10
743,1.0,sdnof-7minutes,10
745,1.0,sdnof-7minutes,10
746,1.0,sdnof-7minutes,10
748,1.0,sdnof-7minutes,10
749,1.0,sdnof-7minutes,10
751,1.0,sdnof-7minutes,10
753,1.0,sdnof-7minutes,10
755,1.0,sdnof-7minutes,10
756,1.0,sdnof-7minutes,10
758,1.0,sdnof-7minutes,10
759,1.0,sdnof-7minutes,10
760,1.0,sdnof-7minutes,10
761,1.0,sdnof-7minutes,10
763,1.0,sdnof-7minutes,10
768,1.0,sdnof-7minutes,10
771,1.0,sdnof-7minutes,10
774,1.0,sdnof-7minutes,10
775,1.0,sdnof-7minutes,10
777,1.0,sdnof-7minutes,10
780,1.0,sdnof-7minutes,10
783,1.0,sdnof-7minutes,10
784,1.0,sdnof-7minutes,10
785,1.0,sdnof-7minutes,10
786,1.0,sdnof-7minutes,10
788,1.0,sdnof-7minutes,10
791,1.0,sdnof-7minutes,10
793,1.0,sdnof-7minutes,10
795,1.0,sdnof-7minutes,10
798,1.0,sdnof-7minutes,10
801,1.0,sdnof-7minutes,10
802,1.0,sdnof-7minutes,10
803,1.0,sdnof-7minutes,10
808,1.0,sdnof-7minutes,10
816,1.0,sdnof-7minutes,10
819,1.0,sdnof-7minutes,10
820,1.0,sdnof-7minutes,10
821,1.0,sdnof-7minutes,10
823,1.0,sdnof-7minutes,10
824,1.0,sdnof-7minutes,10
826,1.0,sdnof-7minutes,10
829,1.0,sdnof-7minutes,10
833,1.0,sdnof-7minutes,10
836,1.0,sdnof-7minutes,10
842,1.0,sdnof-7minutes,10
843,1.0,sdnof-7minutes,10
851,1.0,sdnof-7minutes,10
852,1.0,sdnof-7minutes,10
858,1.0,sdnof-7minutes,10
860,1.0,sdnof-7minutes,10
861,1.0,sdnof-7minutes,10
868,1.0,sdnof-7minutes,10
874,1.0,sdnof-7minutes,10
875,1.0,sdnof-7minutes,10
876,1.0,sdnof-7minutes,10
883,1.0,sdnof-7minutes,10
886,1.0,sdnof-7minutes,10
893,1.0,sdnof-7minutes,10
901,1.0,sdnof-7minutes,10
904,1.0,sdnof-7minutes,10
911,1.0,sdnof-7minutes,10
916,1.0,sdnof-7minutes,10
922,1.0,sdnof-7minutes,10
925,1.0,sdnof-7minutes,10
930,1.0,sdnof-7minutes,10
931,1.0,sdnof-7minutes,10
936,1.0,sdnof-7minutes,10
938,1.0,sdnof-7minutes,10
941,1.0,sdnof-7minutes,10
944,1.0,sdnof-7minutes,10
945,1.0,sdnof-7minutes,10
948,1.0,sdnof-7minutes,10
951,1.0,sdnof-7minutes,10
953,1.0,sdnof-7minutes,10
961,1.0,sdnof-7minutes,10
964,1.0,sdnof-7minutes,10
966,1.0,sdnof-7minutes,10
968,1.0,sdnof-7minutes,10
969,1.0,sdnof-7minutes,10
980,1.0,sdnof-7minutes,10
986,1.0,sdnof-7minutes,10
991,1.0,sdnof-7minutes,10
995,1.0,sdnof-7minutes,10
1000,0.8390804597701149,sdnof-7minutes,10
1001,0.3944153577661431,sdnof-7minutes,10
1002,0.052700922266139656,sdnof-7minutes,10
1003,0.0,sdnof-7minutes,10
1004,0.0,sdnof-7minutes,10
1005,0.0,sdnof-7minutes,10
1007,0.0,sdnof-7minutes,10
1008,0.0,sdnof-7minutes,10
1009,0.0,sdnof-7minutes,10
1010,0.0,sdnof-7minutes,10
1012,0.0,sdnof-7minutes,10
1013,0.0,sdnof-7minutes,10
1014,0.0,sdnof-7minutes,10
1015,0.0,sdnof-7minutes,10
1016,0.0,sdnof-7minutes,10
1017,0.0,sdnof-7minutes,10
1018,0.0,sdnof-7minutes,10
1019,0.0,sdnof-7minutes,10
1020,0.0,sdnof-7minutes,10
1022,0.0,sdnof-7minutes,10
1023,0.0,sdnof-7minutes,10
1024,0.0,sdnof-7minutes,10
1025,0.0,sdnof-7minutes,10
1026,0.0,sdnof-7minutes,10
1027,0.0,sdnof-7minutes,10
1028,0.0,sdnof-7minutes,10
1029,0.0,sdnof-7minutes,10
1030,0.0,sdnof-7minutes,10
1032,0.0,sdnof-7minutes,10
1033,0.0,sdnof-7minutes,10
1034,0.0,sdnof-7minutes,10
1035,0.0,sdnof-7minutes,10
1037,0.0,sdnof-7minutes,10
1038,0.0,sdnof-7minutes,10
1039,0.0,sdnof-7minutes,10
1040,0.0,sdnof-7minutes,10
1041,0.0,sdnof-7minutes,10
1042,0.0,sdnof-7minutes,10
1043,0.0,sdnof-7minutes,10
1045,0.0,sdnof-7minutes,10
1046,0.0,sdnof-7minutes,10
1047,0.0,sdnof-7minutes,10
1048,0.0,sdnof-7minutes,10
1049,0.0,sdnof-7minutes,10
1050,0.0,sdnof-7minutes,10
1051,0.0,sdnof-7minutes,10
1052,0.0,sdnof-7minutes,10
1053,0.0,sdnof-7minutes,10
1054,0.0,sdnof-7minutes,10
1055,0.0,sdnof-7minutes,10
1056,0.0,sdnof-7minutes,10
1058,0.0,sdnof-7minutes,10
1059,0.0,sdnof-7minutes,10
1060,0.0,sdnof-7minutes,10
1063,0.0,sdnof-7minutes,10
1065,0.0,sdnof-7minutes,10
1066,0.0,sdnof-7minutes,10
1070,0.0,sdnof-7minutes,10
1074,0.0,sdnof-7minutes,10
1075,0.0,sdnof-7minutes,10
1088,0.0,sdnof-7minutes,10
1095,0.0,sdnof-7minutes,10
1100,0.0,sdnof-7minutes,10
1112,0.0,sdnof-7minutes,10
1200,0.4225,sdnof-7minutes,10
1201,0.5891016200294551,sdnof-7minutes,10
1202,0.6069802731411229,sdnof-7minutes,10
1203,0.7421150278293135,sdnof-7minutes,10
1204,0.8350730688935282,sdnof-7minutes,10
1205,1.0,sdnof-7minutes,10
1206,1.0,sdnof-7minutes,10
1207,1.0,sdnof-7minutes,10
1208,1.0,sdnof-7minutes,10
1209,1.0,sdnof-7minutes,10
1211,1.0,sdnof-7minutes,10
1212,1.0,sdnof-7minutes,10
1213,1.0,sdnof-7minutes,10
1214,1.0,sdnof-7minutes,10
1216,1.0,sdnof-7minutes,10
1217,1.0,sdnof-7minutes,10
1218,1.0,sdnof-7minutes,10
1219,1.0,sdnof-7minutes,10
1221,1.0,sdnof-7minutes,10
1222,1.0,sdnof-7minutes,10
1223,1.0,sdnof-7minutes,10
1224,1.0,sdnof-7minutes,10
1227,1.0,sdnof-7minutes,10
1228,1.0,sdnof-7minutes,10
1229,1.0,sdnof-7minutes,10
1233,1.0,sdnof-7minutes,10
1234,1.0,sdnof-7minutes,10
1236,1.0,sdnof-7minutes,10
1237,1.0,sdnof-7minutes,10
1238,1.0,sdnof-7minutes,10
1239,1.0,sdnof-7minutes,10
1242,1.0,sdnof-7minutes,10
1246,1.0,sdnof-7minutes,10
1247,1.0,sdnof-7minutes,10
1248,1.0,sdnof-7minutes,10
1253,1.0,sdnof-7minutes,10
1257,1.0,sdnof-7minutes,10
1258,1.0,sdnof-7minutes,10
1259,1.0,sdnof-7minutes,10
1263,1.0,sdnof-7minutes,10
1264,1.0,sdnof-7minutes,10
1268,1.0,sdnof-7minutes,10
1273,1.0,sdnof-7minutes,10
1277,1.0,sdnof-7minutes,10
1288,1.0,sdnof-7minutes,10
1293,1.0,sdnof-7minutes,10
1322,1.0,sdnof-7minutes,10
1332,1.0,sdnof-7minutes,10
1339,1.0,sdnof-7minutes,10
1346,1.0,sdnof-7minutes,10
1368,1.0,sdnof-7minutes,10
1374,1.0,sdnof-7minutes,10
1383,1.0,sdnof-7minutes,10
1388,1.0,sdnof-7minutes,10
1393,1.0,sdnof-7minutes,10
1394,1.0,sdnof-7minutes,10
1408,1.0,sdnof-7minutes,10
1417,1.0,sdnof-7minutes,10
1463,1.0,sdnof-7minutes,10
1472,1.0,sdnof-7minutes,10
1478,1.0,sdnof-7minutes,10
1528,1.0,sdnof-7minutes,10
1601,0.5355086372360844,sdnof-7minutes,10
1602,0.4787430683918669,sdnof-7minutes,10
1603,0.2578616352201258,sdnof-7minutes,10
1604,0.10957004160887657,sdnof-7minutes,10
1605,0.0,sdnof-7minutes,10
1606,0.0,sdnof-7minutes,10
1607,0.0,sdnof-7minutes,10
1608,0.0,sdnof-7minutes,10
1609,0.0,sdnof-7minutes,10
1611,0.0,sdnof-7minutes,10
1612,0.0,sdnof-7minutes,10
1613,0.0,sdnof-7minutes,10
1614,0.0,sdnof-7minutes,10
1616,0.0,sdnof-7minutes,10
1617,0.0,sdnof-7minutes,10
1618,0.0,sdnof-7minutes,10
1619,0.0,sdnof-7minutes,10
1621,0.0,sdnof-7minutes,10
1622,0.0,sdnof-7minutes,10
1623,0.0,sdnof-7minutes,10
1624,0.0,sdnof-7minutes,10
1627,0.0,sdnof-7minutes,10
1628,0.0,sdnof-7minutes,10
1629,0.0,sdnof-7minutes,10
1631,0.0,sdnof-7minutes,10
1633,0.0,sdnof-7minutes,10
1634,0.0,sdnof-7minutes,10
1638,0.0,sdnof-7minutes,10
1639,0.0,sdnof-7minutes,10
1646,0.0,sdnof-7minutes,10
1647,0.0,sdnof-7minutes,10
1648,0.0,sdnof-7minutes,10
1653,0.0,sdnof-7minutes,10
1658,0.0,sdnof-7minutes,10
1659,0.0,sdnof-7minutes,10
1662,0.0,sdnof-7minutes,10
1663,0.0,sdnof-7minutes,10
1667,0.0,sdnof-7minutes,10
1669,0.0,sdnof-7minutes,10
1677,0.0,sdnof-7minutes,10
1678,0.0,sdnof-7minutes,10
1688,0.0,sdnof-7minutes,10
1693,0.0,sdnof-7minutes,10
1697,0.0,sdnof-7minutes,10
1722,0.0,sdnof-7minutes,10
1728,0.0,sdnof-7minutes,10
1800,0.43,sdnof-7minutes,10
1801,0.5063291139240507,sdnof-7minutes,10
1802,0.5882352941176471,sdnof-7minutes,10
1803,0.6944444444444444,sdnof-7minutes,10
1804,1.0,sdnof-7minutes,10
1805,1.0,sdnof-7minutes,10
1806,1.0,sdnof-7minutes,10
1807,1.0,sdnof-7minutes,10
1808,1.0,sdnof-7minutes,10
1809,1.0,sdnof-7minutes,10
1810,1.0,sdnof-7minutes,10
1811,1.0,sdnof-7minutes,10
1812,1.0,sdnof-7minutes,10
1813,1.0,sdnof-7minutes,10
1814,1.0,sdnof-7minutes,10
1815,1.0,sdnof-7minutes,10
1816,1.0,sdnof-7minutes,10
1817,1.0,sdnof-7minutes,10
1818,1.0,sdnof-7minutes,10
1819,1.0,sdnof-7minutes,10
1820,1.0,sdnof-7minutes,10
1821,1.0,sdnof-7minutes,10
1822,1.0,sdnof-7minutes,10
1823,1.0,sdnof-7minutes,10
1824,1.0,sdnof-7minutes,10
1825,1.0,sdnof-7minutes,10
1826,1.0,sdnof-7minutes,10
1827,1.0,sdnof-7minutes,10
1828,1.0,sdnof-7minutes,10
1829,1.0,sdnof-7minutes,10
1830,1.0,sdnof-7minutes,10
1831,1.0,sdnof-7minutes,10
1832,1.0,sdnof-7minutes,10
1833,1.0,sdnof-7minutes,10
1834,1.0,sdnof-7minutes,10
1835,1.0,sdnof-7minutes,10
1836,1.0,sdnof-7minutes,10
1837,1.0,sdnof-7minutes,10
1838,1.0,sdnof-7minutes,10
1839,1.0,sdnof-7minutes,10
1840,1.0,sdnof-7minutes,10
1841,1.0,sdnof-7minutes,10
1842,1.0,sdnof-7minutes,10
1843,1.0,sdnof-7minutes,10
1844,1.0,sdnof-7minutes,10
1845,1.0,sdnof-7minutes,10
1846,1.0,sdnof-7minutes,10
1847,1.0,sdnof-7minutes,10
1848,1.0,sdnof-7minutes,10
1849,1.0,sdnof-7minutes,10
1850,1.0,sdnof-7minutes,10
1851,1.0,sdnof-7minutes,10
1852,1.0,sdnof-7minutes,10
1853,1.0,sdnof-7minutes,10
1854,1.0,sdnof-7minutes,10
1856,1.0,sdnof-7minutes,10
1857,1.0,sdnof-7minutes,10
1858,1.0,sdnof-7minutes,10
1859,1.0,sdnof-7minutes,10
1860,1.0,sdnof-7minutes,10
1861,1.0,sdnof-7minutes,10
1862,1.0,sdnof-7minutes,10
1863,1.0,sdnof-7minutes,10
1864,1.0,sdnof-7minutes,10
1865,1.0,sdnof-7minutes,10
1866,1.0,sdnof-7minutes,10
1867,1.0,sdnof-7minutes,10
1868,1.0,sdnof-7minutes,10
1869,1.0,sdnof-7minutes,10
1870,1.0,sdnof-7minutes,10
1871,1.0,sdnof-7minutes,10
1872,1.0,sdnof-7minutes,10
1873,1.0,sdnof-7minutes,10
1874,1.0,sdnof-7minutes,10
1876,1.0,sdnof-7minutes,10
1877,1.0,sdnof-7minutes,10
1880,1.0,sdnof-7minutes,10
1882,1.0,sdnof-7minutes,10
1883,1.0,sdnof-7minutes,10
1884,1.0,sdnof-7minutes,10
1885,1.0,sdnof-7minutes,10
1886,1.0,sdnof-7minutes,10
1887,1.0,sdnof-7minutes,10
1888,1.0,sdnof-7minutes,10
1889,1.0,sdnof-7minutes,10
1890,1.0,sdnof-7minutes,10
1891,1.0,sdnof-7minutes,10
1892,1.0,sdnof-7minutes,10
1893,1.0,sdnof-7minutes,10
1894,1.0,sdnof-7minutes,10
1895,1.0,sdnof-7minutes,10
1897,1.0,sdnof-7minutes,10
1898,1.0,sdnof-7minutes,10
1899,1.0,sdnof-7minutes,10
1903,1.0,sdnof-7minutes,10
1907,1.0,sdnof-7minutes,10
1908,1.0,sdnof-7minutes,10
1909,1.0,sdnof-7minutes,10
1911,1.0,sdnof-7minutes,10
1914,1.0,sdnof-7minutes,10
1915,1.0,sdnof-7minutes,10
1919,1.0,sdnof-7minutes,10
1920,1.0,sdnof-7minutes,10
1921,1.0,sdnof-7minutes,10
1922,1.0,sdnof-7minutes,10
1924,1.0,sdnof-7minutes,10
1925,1.0,sdnof-7minutes,10
1929,1.0,sdnof-7minutes,10
1930,1.0,sdnof-7minutes,10
1931,1.0,sdnof-7minutes,10
1937,1.0,sdnof-7minutes,10
1939,1.0,sdnof-7minutes,10
1940,1.0,sdnof-7minutes,10
1942,1.0,sdnof-7minutes,10
1945,1.0,sdnof-7minutes,10
1947,1.0,sdnof-7minutes,10
1949,1.0,sdnof-7minutes,10
1950,1.0,sdnof-7minutes,10
1951,1.0,sdnof-7minutes,10
1954,1.0,sdnof-7minutes,10
1955,1.0,sdnof-7minutes,10
1956,1.0,sdnof-7minutes,10
1957,1.0,sdnof-7minutes,10
1961,1.0,sdnof-7minutes,10
1962,1.0,sdnof-7minutes,10
1964,1.0,sdnof-7minutes,10
1969,1.0,sdnof-7minutes,10
1971,1.0,sdnof-7minutes,10
1980,1.0,sdnof-7minutes,10
1981,1.0,sdnof-7minutes,10
1982,1.0,sdnof-7minutes,10
1987,1.0,sdnof-7minutes,10
1994,1.0,sdnof-7minutes,10
1997,1.0,sdnof-7minutes,10
2001,1.0,sdnof-7minutes,10
2002,1.0,sdnof-7minutes,10
2005,1.0,sdnof-7minutes,10
2007,1.0,sdnof-7minutes,10
2011,1.0,sdnof-7minutes,10
2014,1.0,sdnof-7minutes,10
2017,1.0,sdnof-7minutes,10
2022,1.0,sdnof-7minutes,10
2027,1.0,sdnof-7minutes,10
2032,1.0,sdnof-7minutes,10
2033,1.0,sdnof-7minutes,10
2036,1.0,sdnof-7minutes,10
2039,1.0,sdnof-7minutes,10
2047,1.0,sdnof-7minutes,10
2049,1.0,sdnof-7minutes,10
2050,1.0,sdnof-7minutes,10
2051,1.0,sdnof-7minutes,10
2056,1.0,sdnof-7minutes,10
2059,1.0,sdnof-7minutes,10
2062,1.0,sdnof-7minutes,10
2064,1.0,sdnof-7minutes,10
2065,1.0,sdnof-7minutes,10
2072,1.0,sdnof-7minutes,10
2076,1.0,sdnof-7minutes,10
